doc_id,text
0,"In recognition of her work during the pandemic, leading AmerisourceBergen's COVID-19 response team, helping colleagues, hospitals, manufacturer partners and customers navigate the many challenges they faced, we've named Heather Zenk, President of Supply Chain Operations and Distribution Services at AmerisourceBergen, as 2022 Outstanding Woman in Supply Chain. Read more:  Outstanding Woman In Supply Chain Heather Zenk AmerisourceBergen #Momentum2022 M"
1,You can still watch a webcast examining how the health crisis has reshaped seniors housing. Will things go back to how they were now that there is a vaccine or will advanced seniors housing health standards carry beyond the pandemic? What are the hurdles to closing seniors housing transactions in today's market? What is the investment outlook for 2021? See the replay at bit.ly/MM_SeniorsHousing21:=: #CRE #seniorshousing #realestateinvestment #2021outlook
2,"Join us in celebrating Women's History Month! #womenshistorymonth #womeninscience March is Women's History Month We're proud to celebrate the women in science who have helped to forge the path forward for all of us. Today we celebrate June Almeida, who pioneered immune electron microscopy to identify and visualize viruses, including the first human human coronavirus."
3,"How the #coronavirus is impacting paychecks and the #purpose movement. Plus, the new bar for women's representation on boards in the latest edition of Korn Ferry's This Week in #Leadership.    How the coronavirus is making an impact on pay. Plus, why good phone etiquette is more important than ever."
4,"The pandemic has forced a conversation on how we understand, prepare, and manage risks - particularly emerging and complex risks - in an ever fast-changing environment. Learn more in the new Global Risks Report now:  #risks21"
5,"From affecting the stock market to normalizing social distancing, COVID-19 is adding more uncertainty to an already challenging life transition. See how others are managing retirement readiness in this partnership piece with Atlantic Re:think. "
6,"We just announced the primary efficacy analysis in the Phase 3 COVE study for mRNA-1273, our COVID-19 vaccine candidate and that today, we plan to request an Emergency Use Authorization from the U.S. FDA & conditional approval from the EMA. Read more: "
7,"HealthStreamers Hailey Fisher and Lindsay McAlister are #StreamingGood by sewing masks and making care packs for nurses and clinicians on the front lines of the #COVID19 #pandemic. Thanks to all the nurses, doctors, technicians, therapists...we appreciate your dedication and sacrifice. #HealthStream #CSR"
8,"What a powerful and compelling day three we had at TriNet PeopleForce. If you missed it, check out this wrap-up of all that was seen and heard. And don't worry, we'll tell you next week how you can access all the great content from the entire event.  #TriNetPeopleForce #TriNetblog #IncredibleHR #IncredibleStartsHere"
9,"Last month Oisin Hanrahan was appointed CEO of ANGI Homeservices, the company that acquired his startup Handy in 2018. Read about his career trajectory and strategy for leading the $8 billion company in Forbes. ""Our mission is that home is the most important place on earth--especially given the pandemic. Our goal is simple--to help people love where they live. We want them to enjoy their home, be proud of it."" #leadership #entrepreneurship #innovation #homeservices   Oisin Hanrahan went from start-up founder to big company boss. The move is intriguing. How did it happen? How does a start-up CEO adjust to lead a large, publicly-traded company? How does a new CEO build a new culture during a pandemic when everyone is working from home?"
10,"Effective today, Cigna is waiving prior authorizations for the transfer of non-#COVID19 customers from acute inpatient hospitals to in-network long term acute care hospitals.  #CignaNews"
11,"The Global Pride project began in April as an idea to bring a Pride event to a worldwide community devastated by COVID-19 and the growing cancellations of Pride events everywhere. In less than 48 hours, we will be streaming a 26 hour event across the world. #GlobalPride"
12,"For those struggling to access food and other essential resources, the COVID-19 pandemic has caused additional hardship. Watch how Centene subsidiary Magnolia Health Plan has continued to serve local communities during this time."
13,Do you want an inside look at our employee's recent efforts to help combat #COVID19? Check out our collage to see what our amazing colleagues have been doing to help ensure life returns to normal as soon as possible!
14,"New grants are available for Anchorage hospitality businesses impacted by COVID-19.   ANCHORAGE, AK - Today, Mayor Ethan Berkowitz announced that applications for the Hospitality Industry Relief Program will open on Monday, October 12 at 9:00 a.m. This program dedicates $7.1 million of the Municipality's CARES Act allocation to businesses in the hospitality industry that have exp..."
15,"With the right mix of products and the use of contactless technologies, micro markets are the perfect solution for drawing employees back to the office as Covid-19 becomes more manageable. OTI contactless payment solutions provide full support for mobile apps, QR codes & closed-loop cards for an optimal hygienic shopping experience. Contact us for more contactless information! Micro Market Sales by Product Category oti 4.9% Hot beverages 2% Ice crem/frozen 0.9% Other 20.1% Food 10.4% Healthy 27.9% Cold beverages 10.3% Confections 14.3% Snacks Source: Vending Market Watch 9.2% Candy"
16,"Phillip Koblence and Nabeel Mahmood are the team behind The NomadFuturist podcast. In order to talk about the future, you have to understand the past. Join us as we discuss the impact of Covid on IT and Datacenters while looking ahead to 2021. Listen below!   Phillip Koblence and Nabeel Mahmood are the team behind The Nomad Futurist podcast. In order to talk about the future, you have to understand the past. Join ..."
17,"Students are continuing to return to their school buildings. But according to the GOA, the #ventilation systems in up to half of US schools need to be updated to help prevent #COVID19 spread! Learn how to maximize a school or commercial building's #HVAC system with our webinar this Thursday on #COVID19 recommendations, and how you can increase efficiencies and reduce annual operating costs. The webinar is hosted by ACHR News on 4/28 at 2pm EST - register here! "
18,"When COVID-19 shut down the critical tourism business that supports and employs a large portion of the population of the Bahamas, many Bahamians were without funds to buy food and other necessities. To address the increasing need for food distribution relief, the government established and funded the National Food Distribution Task Force. Shout out to the team at Sysco Bahamas, who have has been instrumental in supporting these efforts and as of September 1 donated over 215,000 pounds of food to Bahamians in need. Thanks for being a #HungerActionHero and continuing to support our communities in need! #HungerActionMonth #SyscoFightsHunger"
19,"The regularity of market crashes is a reminder that patience is key to investing in equity markets, says Morningstar Canada's director of research. Learn more about his evaluation of past market declines, and how the current coronavirus-caused market crisis compares. "
20,"The pandemic put video front and center. With insights from our consumer survey and data from Twilio's 2021 #StateofCustomerEngagement report, here's how we expect consumers to use video this year.    The pandemic put video front and center. With insights from our consumer survey and data from the 2021 State of Customer Engagement report, here's how we expect consumers to use video this year."
21,"A round of applause to all of our recent WaFd Foundation grant recipients! These amazing organizations are an integral part of our communities, helping to provide resources and services to at risk families and individuals during the pandemic. We're so thankful for your work and partnership. Congratulations! "
22,"Don't miss our LinkedIn Live with Vodafone Business to learn how to embrace digitalization while navigating the new threat landscape. We'll discuss COVID-19's effects on the hybrid workforce and the keys to comprehensive cybersecurity. Register now!  #SecuredByPANW Keeping Your Business Safe: Navigating Digitization With Confidence with speakers Greg Day, CSO & VP, EMEA at Palo Alto Networks & Andrzej Kawalec, Head of Cyber Security Portfolio at Vodafone Business paloalto(r) NETWORKS"
23,"60% of industry executives say #edgecomputing opens the door for innovation  #edge #OTT   Industry insiders believe that edge computing and serverless compute services will have a positive impact on the ability of video streaming service providers to innovate in years to come, and that the COVID-19 pandemic has cemented SVOD's position as the leading business model for streamers."
24,"Do you have questions about how COVID-19 may affect you and your pet? We're here to answer them in our free Facebook Live series. Join us today, June 17, at 4pm PT for expert insight from Trupanion's Chief Veterinary Officer and special guests Chris Woods, MD, MPH, FIDSA, Scott Weese DVM, DVSc, DipACVIM, and Michael Lappin, DVM, Ph.D, DACVIM, debunking myths and answering your questions about COVID-19 and pets.    The world's top health experts will be available to answer your questions and debunk common myths we hear about COVID-19."
25,"Old Hickory Logistics, part of Performance Food Group, has been recognized by Coyote Logistics as one of its 2020 Carriers of the Year. We were pleased to work in cooperation with Coyote, who normally provides transportation services into our distribution centers, and have them utilize our large private fleet to help keep groceries flowing across our country during the height of the pandemic's disruptions. #ProudToBePFG   Thank you and congratulations to Coyote's Carrier of the Year winners!   From owner-operator to #LTL providers to national fleets, here are the carriers who went above and beyond to keep the #supplychain moving in 2020."
26,"About 3,500 #cancer patients are ""missing"" from treatment services since the start of the #COVID19 pandemic.  #RadOnc #hcsm   Services will need to run at ""120% to 130%"" to catch up, Wales' cancer clinical director says."
27,"Traffic congestion patterns in Massachusetts have changed since the start of the pandemic. Most routes are less congested, but not all.   Traffic congestion patterns in Massachusetts have changed since the start of the pandemic. Most routes are less congested, but not all."
